Materials,Energy,Industrials,Consumer_Discretionary,Consumer_Staples,Health_Cares,Financials,Information_Technology,Communication_Services,Utilities,Real_Estate
AA,ACDC,AAON,AACG,ABEV,A,AAIC,AAOI,ADTH,AEE,AEI
ACNT,AESI,ABB,AAN,AFRI,AAC,AAME,AAPL,ADV,AEP,ALBT
ADES,ALPS,ABM,AAP,AGRO,AADI,AB,ABST,AMC,AGR,ARL
AEM,ALTO,ACA,ABG,AVO,ABBV,ABCB,ACIW,AMCX,ALE,ASPS
AG,AM,ACCO,ABNB,BGS,ABC,ABR,ACN,AMX,AQN,AXR
AGI,AMPY,ACHR,ACEL,BRCC,ABCL,AC,ADBE,ANGH,ARTNA,BEKE
ALB,AMTX,ACM,ADD,BRFH,ABCM,ACGL,ADEA,ANGI,ATO,CBRE
AMLI,APA,ACVA,ADT,BRFS,ABEO,ACNB,ADI,ANTE,AVA,CHCI
AMR,AR,ADN,AEO,BRID,ABIO,ACR,ADSK,ASST,AWK,CIGI
AMRS,ARCH,ADP,AFYA,BSFC,ABOS,ACRE,ADTN,ASTS,AWR,COMP
AP,AREC,ADSE,AGAE,BTI,ABSI,AEG,AEIS,ATEX,BIP,CWK
APD,ARLP,AEHL,AGS,BUD,ABT,AEL,AEVA,ATHM,BKH,DBRG
ARNC,AROC,AENZ,AIU,BYND,ABUS,AFBI,AEY,ATNI,CDZI,DOMA
ASH,ASC,AER,AKA,CAG,ABVC,AFCG,AEYE,ATUS,CEG,DOUG
ASIX,BKR,AGCO,ALLG,CALM,ACAD,AFG,AGIL,ATVI,CMS,EXPI
ASPI,BNMV,AGFY,AMST,CCU,ACB,AFL,AGYS,AUD,CNP,FLJ
ASPN,BOOM,AGX,AN,CENT,ACCD,AGMH,AHI,BAND,CPK,FOR
ASTL,BORR,AIR,ANF,CENTA,ACER,AGNC,AI,BAOS,CWCO,FPH
ATI,BP,AIRT,AOUT,CHD,ACET,AGO,AIP,BATRA,CWT,FRPH
ATLX,BPT,AIT,APEI,CL,ACGN,AIG,AIRG,BATRK,D,FSV
AU,BROG,AJRD,AQU,CLX,ACHC,AIHS,AIXI,BBGI,DTE,FTHM
AVD,BRY,AL,ARCE,CPB,ACHL,AIZ,AKAM,BBIG,DUK,GGE
AVNT,BSM,ALIT,ARCO,CVGW,ACHV,AJG,AKTS,BCE,EBR,GYRO
AXTA,BTE,ALLE,ARHS,DEO,ACIU,AJX,ALAR,BHAT,ED,HHC
BAK,BTU,ALTG,ARKO,DOLE,ACLX,ALL,ALGM,BIDU,EDN,HOUS
BCPC,CAPL,AME,ARKR,EAST,ACON,ALLY,ALKT,BILI,EIX,INTG
BHP,CCJ,AMOT,ARMK,ENR,ACOR,ALTI,ALLT,BMBL,ENIC,IRS
BIOX,CCLP,AMPX,ARVL,FAMI,ACRS,AMAL,ALOT,BOC,ES,JLL
BON,CEIX,AMRC,ASCA,FARM,ACRV,AMBC,ALPP,BREA,ETR,JOE
BRD,CEQP,AMSC,ATAT,FLO,ACRX,AMG,ALRM,BZ,EVRG,KW
BVN,CHK,AMWD,ATER,FREE,ACST,AMK,ALTR,BZFD,EXC,LEJU
CBT,CHRD,AOS,ATGE,FRPT,ACXP,AMNB,ALYA,CABO,FE,LUXH
CC,CHX,APG,AYRO,GIS,ADAG,AMP,AMBA,CARG,FTS,MAYS
CDE,CIVI,APOG,AZO,HAIN,ADAP,AMSF,AMD,CARS,GNE,MDJH
CE,CLB,APWC,BALY,HPCO,ADCT,AMTB,AMPG,CCO,GWRS,MLP
CENX,CLCO,AQMS,BBBY,HRL,ADIL,AMTD,AMPL,CCOI,HE,MMI
CF,CLMT,ARC,BBY,HSY,ADMA,AOMR,AMSWA,CDLX,IDA,NMRK
CGA,CLNE,AREB,BC,IBA,ADMP,AON,ANET,CHT,KEP,ONYX
CGAU,CNQ,ARIS,BEDU,JBSS,ADPT,APAM,ANSS,CHTR,LNT,OPAD
CHNR,CNX,ARRY,BFAM,JJSF,ADTX,ARCC,ANY,CIDM,MGEE,OPEN
CLF,COP,ARTW,BFI,JVA,ADUS,ARES,AOSL,CMCSA,MSEX,RDFN
CLW,CPE,ASGN,BH,K,ADVM,ARGO,APH,CMLS,NEE,REAX
CMC,CPG,ASLE,BIRD,KHC,ADXN,ARI,API,CNET,NFG,RFL
CMP,CRC,ASR,BJRI,KMB,AEMD,AROW,APLD,CNK,NGG,RMAX
CNEY,CRGY,ASTR,BKE,LANC,AEZS,ARR,APP,CNSL,NI,RMR
CPAC,CRK,ATIF,BKNG,LFCR,AFIB,ASB,APPF,CPOP,NJR,SFR
CRH,CRT,ATKR,BLD,LW,AFMD,ASRV,APPN,CREX,NRG,SRG
CRKN,CSAN,ATRO,BLMN,LWAY,AGAC,ATLC,APPS,CRGE,NWE,STRS
CRS,CTRA,ATSG,BODY,MDLZ,AGEN,ATLO,ARBE,CRTO,NWN,SYT
CSTM,CVE,ATXG,BOOT,MGPI,AGIO,AUB,ARBK,CSSE,OGE,TCI
CTVA,CVI,AUR,BOWL,MKC,AGL,AUBN,ARLO,CTV,OGS,TCN
CX,CVX,AUVI,BRAG,MLEC,AGLE,AVAL,ARQQ,CUEN,OTTR,TRC
DD,DCP,AVAV,BROS,MMMB,AGRX,AVTA,ARW,CURI,PAM,UK
DNA,DEN,AWI,BSET,MO,AGTI,AX,ASAN,DALN,PCG,WE
DNMR,DHT,AWIN,BTBD,NAPA,AHCO,AXP,ASNS,DDI,PCYO,XIN
DOW,DINO,AXON,BURL,NOMD,AHG,AXS,ASTC,DHX,PEG,Z
DRD,DK,AYI,BVH,NUZE,AIH,BAC,ASTI,DIS,PNM,ZG
DSEY,DKL,AZ,BWMX,ODC,AIMD,BAFN,ASUR,DISH,PNW,
EAC,DLNG,AZEK,BYD,OTLY,AIRS,BAM,ASX,DJCO,POR,
ECL,DMLP,AZZ,BZH,PACI,AKAN,BANC,ATEN,DLPN,PPL,
ECVT,DO,BA,CAKE,PETZ,AKBA,BANF,AUDC,DMS,RGCO,
EGO,DRQ,BAER,CAL,PG,AKLI,BANR,AUID,DNAD,SBS,
ELBM,DTM,BAH,CANG,PM,AKRO,BANX,AUUD,DOYU,SGU,
EMN,DVN,BBCP,CATO,POST,AKTX,BAP,AVGO,DRCT,SJW,
ERO,DWSN,BBSI,CBRL,PPC,AKU,BBAR,AVID,DUO,SO,
ESI,E,BBU,CCL,REYN,AKYA,BBDC,AVNW,EA,SPH,
EXK,EC,BCC,CCS,RGF,ALC,BBDO,AVPT,EB,SR,
EXP,EE,BCO,CDRO,RIBT,ALDX,BBVA,AVT,EDR,SRE,
FCX,EFXT,BE,CENN,RLX,ALEC,BCBP,AWRE,EEX,SWX,
FEAM,EGY,BECN,CHDN,RMCF,ALGN,BCH,AYX,EGLX,UGI,
FF,ENB,BEEM,CHGG,SAM,ALGS,BCML,AZPN,EVC,UTL,
FMC,ENG,BEST,CHH,SENEA,ALHC,BCOW,BASE,EVER,VIA,
FNV,ENLC,BGSF,CHS,SJM,ALIM,BCS,BB,FAZE,VII,
FSM,EOG,BKSY,CHUY,SMPL,ALKS,BCSF,BBAI,FENG,WEC,
FTK,EPD,BLDP,CLAR,SNAX,ALLK,BEN,BCOV,FLNT,WTRG,
FUL,EPSN,BLDR,CLEU,SOVO,ALLO,BFC,BDC,FNGR,XEL,
GATO,EQNR,BLNK,CMG,SPB,ALLR,BFH,BELFA,FOX,YORW,
GFI,EQT,BNRG,CNTY,STKH,ALNY,BFIN,BELFB,FOXA,,
GGB,ERF,BRC,CNXA,STKL,ALPN,BFST,BHE,FUBO,,
GLT,ESTE,BV,COE,STZ,ALRN,BGCP,BIGC,FWONA,,
GOLD,ET,BW,COLM,TAP,ALT,BHF,BILL,FWONK,,
GSM,ETRN,BWC,CONN,THS,ALVO,BHG,BITF,FYBR,,
GURE,EURN,BWEN,COOK,TPB,ALVR,BHLB,BKI,GAIA,,
HAYN,EVA,BWMN,COUR,TR,ALXO,BK,BKYI,GAMB,,
HBM,EZFL,BWXT,CPHC,TSN,ALZN,BKCC,BL,GAME,,
HCC,FANG,BXC,CPRI,TTCF,AMAM,BKKT,BLBX,GCI,,
HL,FET,BYRN,CRCT,TWNK,AMED,BKSC,BLIN,GDEV,,
HMY,FLNG,CAAP,CRI,UTZ,AMEH,BKU,BLKB,GETY,,
HUDI,FRO,CACI,CRMT,UVV,AMGN,BLFY,BLND,GIGM,,
HUN,FTI,CAE,CROX,VGR,AMLX,BLK,BLZE,GMGI,,
HWKN,GASS,CARR,CRWS,VITL,AMN,BMA,BMI,GNUS,,
HYMC,GEL,CBAT,CSV,VWE,AMPH,BMO,BMR,GOGO,,
IAG,GEOS,CBZ,CTHR,WDFC,AMRN,BMRC,BNSO,GOOG,,
ICL,GEVO,CDRE,CTIB,WEST,AMRX,BN,BOSC,GOOGL,,
IFF,GIFI,CEAD,CTRN,WVVI,AMTI,BNRE,BOX,GRND,,
IOSP,GLNG,CECO,CUK,XXII,AMWL,BNS,BOXL,GROM,,
IPI,GLOP,CETY,CULP,,ANAB,BOH,BRQS,GRVY,,
IPX,GLP,CGRN,CURV,,ANEB,BOKF,BRZE,GSMG,,
JEWL,GPOR,CHPT,CVCO,,ANGN,BOTJ,BSQR,GTN,,
JHX,GPP,CHRW,CVNA,,ANGO,BPOP,BSY,HHS,,
KALU,GPRE,CLH,CWH,,ANIK,BPRN,BTBT,HUYA,,
KGC,GPRK,CLVT,CZOO,,ANIP,BRDG,BTCM,IAC,,
KOP,GRNT,CLWT,CZR,,ANIX,BRKL,BTCS,IAS,,
KRO,HAL,CMPR,DAO,,ANNX,BRMK,BTOG,ICLK,,
KWR,HEP,CNHI,DASH,,ANPC,BRO,CALX,IDT,,
LAC,HES,CNM,DBGI,,ANTX,BRP,CAMP,IH,,
LGO,HESM,CPRT,DBI,,ANVS,BRSP,CAN,IHRT,,
LIN,HHRS,CRAI,DECK,,AORT,BSAC,CASA,IHS,,
LITM,HLX,CREG,DENN,,APDN,BSBK,CCCS,IMAX,,
LOMA,HNRG,CRGO,DESP,,APGN,BSBR,CCRD,IPG,,
LOOP,HP,CSGP,DFH,,APLS,BSIG,CCSI,IQ,,
LPX,HPK,CSL,DHI,,APLT,BSMX,CD,IRDM,,
LTHM,ICD,CSTE,DIN,,APM,BSRR,CDAY,ISIG,,
LXU,IMPP,CSWI,DKNG,,APRE,BSVN,CDNS,IZEA,,
LYB,INSW,CTAS,DLTH,,APTO,BUSE,CDW,JFU,,
MATV,INT,CTOS,DNUT,,APTX,BWB,CETX,KBNT,,
MEOH,ISRL,CVEO,DOGZ,,APVO,BWFG,CEVA,KIND,,
MERC,KLXE,CW,DOOO,,APYX,BX,CFLT,KORE,,
METC,KMI,CWST,DPZ,,AQB,BXMT,CGNT,KRKR,,
MLM,KNOP,CXW,DRI,,AQST,BXSL,CGNX,KT,,
MOS,KNTK,DCFC,DTC,,ARAV,BY,CHKP,KUKE,,
MP,KOS,DCO,DUOL,,ARAY,BYFC,CIEN,LBRDA,,
